Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999,Team,Salary,Cash Spent
209,Darnell Mooney,CHI,26,WR,8,8,2,5,0,0,0.0,3,2.5,0.6,0,MoonDa00,,,
210,Devine Ozigbo,DET,27,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,0,OzigDe01,Lions,574444,660000
211,Adam Prentice,NOR,26,FB,5,1,1,5,0,0,100.0,5,5.0,1.0,1,PrenAd00,,,
212,Kendrick Bourne,NWE,28,WR,8,5,1,4,0,1,100.0,4,4.0,0.5,1,BourKe00,,,
213,Ashtyn Davis,NYJ,27,S,7,3,1,4,0,1,100.0,4,4.0,0.6,0,DaviAs00,,,
214,Gerald Everett,LAC,29,TE,6,5,2,4,0,0,0.0,2,2.0,0.7,1,EverGe00,,,
215,Van Jefferson,2TM,27,,8,5,1,4,0,0,100.0,4,4.0,0.5,0,JeffVa00,,,
216,Puka Nacua,LAR,22,WR,8,8,2,4,0,1,50.0,4,2.0,0.5,1,NacuPu00,,,
217,Dare Ogunbowale,HOU,29,RB,2,0,2,4,0,1,50.0,2,2.0,2.0,0,OgunDa00,Texans,1550000,1400000
218,Chigoziem Okonkwo,TEN,24,TE,7,5,1,4,0,1,100.0,4,4.0,0.6,0,OkonCh00,,,
219,Amon-Ra St. Brown,DET,24,WR,7,7,1,4,0,0,0.0,4,4.0,0.6,1,StxxAm00,,,
220,Andrew Beck,HOU,27,FB,7,6,4,3,1,2,50.0,2,0.8,0.4,1,BeckAn01,,,
221,Jake Bobo,SEA,25,WR,7,0,1,3,1,1,100.0,3,3.0,0.4,0,BoboJa00,,,
222,Michael Burton,DEN,31,FB,8,1,4,3,0,2,50.0,3,0.8,0.4,0,BurtMi00,,,
223,DeAndre Carter,LVR,30,WR,8,1,2,3,0,1,50.0,3,1.5,0.4,1,CartDe02,,,
224,Mecole Hardman,2TM,25,,7,0,1,3,0,0,0.0,3,3.0,0.4,1,HardMe00,,,
225,Aidan O'Connell,LVR,25,QB,2,1,3,3,1,2,66.7,2,1.0,1.5,3,OConAi00,,,
226,Jalen Reeves-Maybin,DET,28,LB,8,0,1,3,0,1,100.0,3,3.0,0.4,0,ReevJa00,,,
227,Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0,WillMi07,,,
228,Jordan Addison,MIN,21,WR,8,5,1,2,0,0,0.0,2,2.0,0.3,0,AddiJo00,,,
229,Deonte Harty,BUF,26,WR,8,1,3,2,0,0,33.3,4,0.7,0.3,1,HarrDe07,,,
230,Amani Hooker,TEN,25,DB,6,6,1,2,0,1,100.0,2,2.0,0.3,0,HookAm00,,,
231,George Kittle,SFO,30,TE,8,8,1,2,0,1,100.0,2,2.0,0.3,0,KittGe00,,,
232,Marvin Mims,DEN,21,WR,8,2,4,2,0,0,25.0,8,0.5,0.3,1,MimsMa00,,,
233,Logan Thomas,WAS,32,TE,7,7,1,2,0,1,100.0,2,2.0,0.3,1,ThomLo00,,,
234,Zeke Turner,ARI,27,LB,8,1,1,2,0,1,100.0,2,2.0,0.3,0,TurnZe00,,,
235,Nick Bawden,NYJ,27,FB,7,1,1,1,1,1,100.0,1,1.0,0.1,0,BawdNi00,,,
236,Noah Gray,KAN,24,TE,8,5,1,1,0,0,0.0,1,1.0,0.1,0,GrayNo00,,,
237,Evan Hull,IND,23,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,0,HullEv00,Colts,527912,711647
238,Cole Kmet,CHI,24,TE,8,8,2,1,0,1,50.0,1,0.5,0.1,1,KmetCo00,,,
239,Dontayvion Wicks,GNB,22,WR,7,2,1,1,0,0,0.0,1,1.0,0.1,0,WickDo00,,,
240,Mark Andrews,BAL,28,TE,7,6,1,0,0,0,0.0,0,0.0,0.0,0,AndrMa00,,,
241,Dyami Brown,WAS,24,WR,8,1,1,0,0,0,0.0,0,0.0,0.0,0,BrowDy00,,,
242,Jason Cabinda,DET,27,FB,3,0,1,0,0,0,0.0,0,0.0,0.0,0,CabiJa00,,,
243,Sean Clifford,GNB,25,QB,1,0,1,0,0,0,0.0,0,0.0,0.0,1,ClifSe00,,,
244,Kenyan Drake,BAL,29,RB,2,0,1,0,0,0,0.0,0,0.0,0.0,1,DrakKe00,,,
245,Peyton Hendershot,DAL,24,TE,3,0,1,0,0,0,0.0,0,0.0,0.0,0,HendPe01,,,
